Name,Calories,FatContent,CarbohydrateContent,ProteinContent,SugarContent,SodiumContent,Images
Buttermilk Pie,395.9,19.1,52.2,5.0,39.9,269.8,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/56/nTwHmSmmRqGCr5HAUapC_pie-1194.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/56/KVgOoNMtRF6wvr5F2LN8_IMG_20180506_232451.jpg"", ""https://img.sndimg.com/food/image/upload/v1/img/feed/56/FNPRvh8RVDt87oJMvdaQ_166757453857297.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/a_270/v1/img/recipes/56/YrLhorGAT1ifQL8kR6Wi_image.jpg?rotate=270"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/56/picJXAlyG.jpg"", ""https://img.sndimg.com/food/image/upload/v1/img/feed/56/JOBnvLyxTLOaUX9iAHwY_10158835129563134.jpg"", ""https://img.sndimg.com/food/image/upload/v1/img/feed/56/ZdWr5wSqTXxLp9gQKZva_6177182B-027F-47EE-9C80-39990213CCFC.jpeg"", ""https://img.sndimg.com/food/image/upload/v1/img/feed/56/VZPyxCFZRGDdqWjVI3Ig_0553DC1D-4ACE-4409-9EDD-5E05816DABF8.jpeg"", ""https://img.sndimg.com/food/image/upload/v1/img/feed/56/PqvYaX51TkK0ftMAzQpW_SPhotoEditor-20180123_200317.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/56/J2tzJWCfRymRlQleEd6y_pie-1181.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/56/LOQPyV1SkSvINuu2lHnQ_pie-1178.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/56/FKfvNy09TZOJZXhks55M_image.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/56/WcvltJdQpaBj0VuIwkRM_20150221_185141.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/56/pfKfVg22RWae0KXp4Zxx_IMG_20150221_124006.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/56/picJEONrC.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/56/picrMc1hm.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/56/picI0FnqN.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/56/picm865Ry.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/56/picpY7xxC.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/56/picG0knyL.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/56/picMujOhS.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/56/6mu4U7FdQvSbUJcZsfnb_2285843731647190.jpg"", ""https://img.sndimg.com/food/image/upload/v1/img/feed/56/irAZOAxdSjOqcEnJuVTG_2285843731647190.jpg"", 
""https://img.sndimg.com/food/image/upload/v1/img/feed/56/pzhS4q7QKSMqZASDBtNB_IMG_20180506_232451.jpg"", ""https://img.sndimg.com/food/image/upload/v1/img/feed/56/Vg7ihmiYSTeiZMT2CpTQ_Buttermilk%20pie.JPG"", ""https://img.sndimg.com/food/image/upload/v1/img/feed/56/M3067khQQjC4cYTLtBSM_20170312_211847.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/56/NNse5q3TRZum6MXQVNya_IMG_6814.JPG"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/56/pick370mI.jpg""
)"
Low-Fat Burgundy Beef & Vegetable Stew,280.1,6.0,22.4,29.8,9.2,591.5,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/58/picnE8qoe.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/58/picwiayaY.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/58/picAaGXgc.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/58/picD2ey4Z.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/58/picKtSTwb.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/58/picY2Aqui.jpg"")"
Lou's Fabulous Bruschetta,221.5,6.5,32.5,8.1,1.8,367.8,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/59/pickKDLXe.jpg"""
Black Coffee Barbecue Sauce,772.0,3.9,189.6,7.0,164.3,2241.9,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/66/pic6Ysx4x.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/66/picknLY3c.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/66/piclB5wbq.jpg"")"
Brownie Cheesecake Torte,122.1,4.9,14.4,5.7,10.9,194.7,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/74/kZ2yXx22RimC8sHBAlFa_image.jpg"""
Alfredo Sauce,489.9,50.4,2.5,8.7,0.2,312.4,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/76/lfS6kBlpRJMGzvXr3Gkz_AS%204%20-%20final_2.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/76/RU5fnqOQ6kQhNPHuyepw_AS%204%20-%20final_4.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/76/7Zay46y4T5iIMpwytGAh_9A7A15FF-075C-4696-911B-80C05EC777C8.jpeg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/76/rD6D3t6SrmNouznAOrTT_IMG_1241.JPG"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/76/pic9nC3rH.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/76/picOZfuNC.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/76/picvhwJQj.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/76/piczatR8o.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/76/picCBDhXY.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/76/pict87aHR.jpg"")"
Brazilian Empadinhas,329.7,16.7,35.6,9.3,1.9,446.8,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/82/82.jpg"""
Braised Brussels Sprouts With Vinegar and Dill,40.9,0.6,8.1,2.9,2.0,23.9,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/84/pickFstbF.jpg"""
Butter Madeira Cake,373.8,19.9,43.9,5.5,22.2,243.8,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/85/picH7CI8k.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/85/picxHaQSq.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/85/pic3a9BE3.jpg"")"
Almond Paste,2123.5,119.8,244.0,48.9,210.7,49.1,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/90/picbvBYE9.jpg"""
